ev,cvar,mstd,cvar_mstd,var,alpha
0.00011824995295373064,0.00011824995295373064,0.00011824677048433152,3.182093033515798e-9,median,0.0
0.0001101270054115755,0.0001101270054115755,0.00011009428973274282,1.754991707514364e-10,median,0.1
0.00010585184155420535,0.00010585184155420535,0.00010591714306484867,-2.6431865585152536e-9,median,0.2
0.00010024744575765077,0.00010024744575765077,0.00010025198437624283,-4.538163733691647e-9,median,0.3
8.293139904957947e-5,8.293139904957947e-5,8.293785880253424e-5,-8.730808631618459e-9,median,0.4
7.245728364524417e-5,7.245728364524417e-5,7.24689507631826e-5,-1.1666272503596531e-8,median,0.5
6.312025004961974e-5,6.312025004961974e-5,0.00025390235296063324,-0.0001649538473739165,median,0.6
5.372608682496782e-5,5.372608682496782e-5,0.0004951563962352079,-0.0003852223875655536,median,0.7
4.42768177992825e-5,4.42768177992825e-5,0.0007290109179851623,-0.0006348120964434489,median,0.8
3.4775030939515617e-5,3.4775030939515617e-5,0.0009591564301449917,-0.0008862306055433811,median,0.9
2.522391327453022e-5,2.522391327453022e-5,0.0012127264365622281,-0.0011394969590096116,median,1.0
1.5627286623187686e-5,1.5627286623187686e-5,0.0014684449552950785,-0.0013946303649845504,median,1.1
5.98964412956704e-6,5.98964412956704e-6,0.0017263401735754247,-0.001636513172114551,median,1.2
-3.6838125087035323e-6,-3.6838125087035323e-6,0.0019864405709637545,-0.001878522008302519,median,1.3
-1.3387135232356684e-5,-1.0168943517463447e-5,0.002248774893492733,-0.002122188291796112,median,1.4
-2.311359124107515e-5,0.000392247538156143,0.0025114388545652844,-0.0020627755422527594,median,1.5
-3.2855624205407885e-5,0.0008144831557832521,0.0027753517910116265,-0.0018914018473247252,median,1.6
-4.260481519047232e-5,0.001234735102536133,0.0030421558587663267,-0.0017170731041473708,median,1.7
-5.235184336060961e-5,0.0016603368957743836,0.003311928500642658,-0.0015397739558397072,median,1.8
-6.208644668548313e-5,0.002091337396027404,0.003584747660318799,-0.001359489391671187,median,1.9
-7.179738274609715e-5,0.002527784927773169,0.003860691678448269,-0.001176204740300224,median,2.0
-8.147238982780802e-5,0.0029697272123634377,0.004139839179779781,-0.0009899056627674652,median,2.1
-9.109814850238873e-5,0.0034172112971615487,0.004422268950946107,-0.0008005781451654315,median,2.2
-0.00010066024387556105,0.0038702834807953224,0.004708059808535614,-0.0006082084910378205,median,2.3
-0.0001101431287393595,0.004328989234432035,0.0050014334398031934,-0.0004688629216157425,median,2.4
-0.00011953008785225983,0.004793373118977096,0.005504746942176064,-0.00046382236949094047,median,2.5
-0.0001288032036046438,0.005263478698120716,0.006068050901741673,-0.0005335949148111974,median,2.6
-0.00013794332333894044,0.005739348447152404,0.00663566901281043,-0.0006020812602186565,median,2.7
-0.00014693002860999282,0.006221023657488001,0.0072076413051986865,-0.0006692827082238617,median,2.8
-0.0001557416066936268,0.0067085443368759545,0.0077840069192527395,-0.0007352008652025122,median,2.9
-0.0001643550246610559,0.007201949105245076,0.008364804001872672,-0.0007998376428659526,median,3.0
-0.00017274590636362497,0.007701275086180459,0.008950069598016697,-0.0008631952598637804,median,3.1
-0.00018088851268127648,0.008206557794053104,0.00953983953773263,-0.0009252762435052464,median,3.2
-0.00018875572541188212,0.008717831016819444,0.010134148318740932,-0.0010087808835865797,median,3.3
-0.00019631903518013694,0.009235126694546736,0.01073302898462436,-0.0010927308677283198,median,3.4
-0.00020354853378101723,0.009758474793754024,0.01133651299872196,-0.0011751106616303408,median,3.5
-0.00021041291136514317,0.01028790317765882,0.011944630113823962,-0.0012559227132667994,median,3.6
-0.0002168794588958134,0.010823437472472719,0.012557408237818812,-0.001335169877047182,median,3.7
-0.00022291407631414017,0.01136510092990628,0.013174873295454415,-0.0014128554148292727,median,3.8
-0.00022848128685704072,0.011912914286072995,0.013797049086418323,-0.0014889829968106616,median,3.9
-0.00023354425797983414,0.012466895617033957,0.014423957139968246,-0.0015635567022959096,median,4.0
-0.000238064829325646,0.01302706019122346,0.015055616566385543,-0.0016365810203466946,median,4.1
-0.00024200354820580472,0.013593420319079952,0.015692043905555453,-0.0017080608503196038,median,4.2
-0.00024531971302277356,0.014165985200192965,0.016333252973009582,-0.0017780015022940132,median,4.3
-0.0002479714250763765,0.014744760768351961,0.01697925470382078,-0.0018464086973972726,median,4.4
-0.00024991564917775655,0.015329749534910508,0.017630056994762056,-0.0019132885680291922,median,4.5
