ev,cvar,mstd,cvar_mstd,var,alpha
5.34830653131646e-5,5.3483065313386646e-5,5.3481220173123845e-5,2.143801602905171e-8,median,0.0
5.580210479338987e-5,5.580210479338987e-5,5.5804860044972315e-5,-2.755097927575889e-9,median,0.1
6.087967739154543e-5,6.087967739154543e-5,6.088605398191227e-5,-6.376202121849417e-9,median,0.2
6.569111995013976e-5,6.569111995013976e-5,6.570107811554315e-5,-9.957511259983676e-9,median,0.3
6.092495330367598e-5,6.092495330345393e-5,6.089207464321511e-5,-1.3499139361883294e-8,median,0.4
4.929215959181832e-5,4.929215959181832e-5,4.9263872724303326e-5,-1.7001289043250267e-8,median,0.5
3.709012663799527e-5,3.709012663799527e-5,3.706647488388448e-5,-2.267196986416309e-5,median,0.6
2.43043255361286e-5,2.43043255361286e-5,0.00016078479316683492,-0.00013130730676869096,median,0.7
1.0920220290699945e-5,1.0920220290699945e-5,0.0002892689000029147,-0.00022519130816933686,median,0.8
-3.076696076131924e-6,-3.076696076131924e-6,0.0004179949703555508,-0.00037380202902093096,median,0.9
-1.3265568714060372e-5,-1.3265568714060372e-5,0.000546955655951642,-0.0004905318742318698,median,1.0
-2.009565991800688e-5,-2.009565991800688e-5,0.0006761436993389935,-0.0006071140580592438,median,1.1
-2.7015578061173606e-5,-2.7015578061173606e-5,0.0008055519618608287,-0.0007235543251689069,median,1.2
-3.402424349552291e-5,-3.402424349507882e-5,0.0009351734519797983,-0.0008398585886583154,median,1.3
-4.112066673422898e-5,9.063002846043666e-5,0.0010650013537876202,-0.0009560329113096344,median,1.4
-4.830396136779047e-5,9.954966895642237e-5,0.0011950290558251364,-0.0010118024517745683,median,1.5
-5.557335691375176e-5,0.00030582218640273773,0.0013252501798945993,-0.0009830886469824884,median,1.6
-6.292821154330053e-5,0.00044543221834780766,0.0014556586098799507,-0.0010786003675260503,median,1.7
-7.036802464510661e-5,0.000570638541623758,0.0015862485203561594,-0.001067193698378377,median,1.8
-7.789244921052596e-5,0.0007480634241345818,0.001717014404983841,-0.0010033700266318668,median,1.9
-8.550130393891742e-5,0.0009278298694659348,0.0018479511044502406,-0.0009331154636484928,median,2.0
-9.319458503953548e-5,0.0011099333428681302,0.001979053833917721,-0.0008592328051102438,median,2.1
-0.0001009724776768195,0.0012943678529886427,0.0020938832104411276,-0.000781708853691776,median,2.2
-0.00010883536700645458,0.001481125877258238,0.002207079706227688,-0.0007005318735906485,median,2.3
-0.00011678384874846959,0.0016701982843749796,0.00241076088757719,-0.0006156916090528375,median,2.4
-0.0001248187392446365,0.0018615742537708702,0.0026516203696727025,-0.0006041120459866489,median,2.5
-0.0001329410849568724,0.0020606553211168777,0.0028926419367554246,-0.0006614518484023835,median,2.6
-0.0001411521713464703,0.0022652452634803755,0.0031338264993319154,-0.0007148704625954405,median,2.7
-0.0001494535311015177,0.0024725027931224997,0.0033751752883821595,-0.0007643463933850736,median,2.8
-0.00015784695163933993,0.0026824204786337624,0.003616689831832609,-0.000809858885458814,median,2.9
-0.00016633448186009758,0.0028949887478155745,0.0038583719288840523,-0.0008513879420124493,median,3.0
-0.0001749184380994695,0.0031101958405928,0.0041002236221070465,-0.0008964424247575042,median,3.1
-0.00018360140923090462,0.003328027764454511,0.004342247167229418,-0.0009674115768847358,median,3.2
-0.00019238626088757815,0.003548468252567938,0.004584445000558324,-0.001036125005683175,median,3.3
-0.00020127613875686734,0.0037714987247814413,0.004826819703953378,-0.0011025980219508957,median,3.4
-0.00021027447091748197,0.003997098251652398,0.005069373967293789,-0.0011652024374096959,median,3.5
-0.00021938496918638695,0.004225243521692512,0.005312110548390203,-0.0011920855368652283,median,3.6
-0.00022861162944154412,0.004455908811994647,0.005566290909985172,-0.0012171422694566836,median,3.7
-0.00023795873090282083,0.0046890659623934905,0.005840541934178267,-0.0012404179985026076,median,3.8
-0.00024743083434364266,0.004924684353323938,0.0061143050072027805,-0.001261961107106968,median,3.9
-0.00025703277921462764,0.005162730887533495,0.0063875596333813345,-0.0012818230695859079,median,4.0
-0.000266769679674872,0.005403169975779054,0.006660284272808736,-0.0013000585221838445,median,4.1
-0.0002766469195096821,0.005645963526653475,0.006932456319621805,-0.0013167253327858175,median,4.2
-0.0002866701459395271,0.005891070940675647,0.00720405208303232,-0.0013318846692692565,median,4.3
-0.0002968452623174356,0.006138449108745725,0.0074750467712652036,-0.0013393883296662912,median,4.4
-0.000307178419722165,0.006388052415093215,0.007745414478520285,-0.0013469295358982114,median,4.5
-0.0003176760074506957,0.00663983274480473,0.008015128175076436,-0.0013643599107105997,median,4.6
-0.00032834464244058115,0.006965492792639472,0.008284159700636895,-0.0013030943906090497,median,4.7
-0.0003391911576274831,0.00734607322731784,0.008552479761016363,-0.0011922295188386833,median,4.8
-0.0003502225892729749,0.007728565299125911,0.0088200579282538,-0.001078281568801076,median,4.9
-0.00036144616329258916,0.00811287837290986,0.009086862644215987,-0.0009613068792673207,median,5.0
-0.0003728692806224121,0.008498918889500828,0.009352861227760911,-0.0008413652013992134,median,5.1
-0.0003844995016607511,0.00888659040669637,0.009618019885496487,-0.0007185198104333601,median,5.2
-0.0003963445298399426,0.009275793645588282,0.009882303726181707,-0.0005928376191355333,median,5.3
-0.0004084121943738195,0.009666426542257467,0.010145676778773316,-0.00046438929267555995,median,5.4
-0.0004207104322411226,0.010058384304862278,0.010408102014137555,-0.00033324936453071885,median,5.5
-0.00043324726946269987,0.010451559476123862,0.01066954137040721,-0.00019949635295446466,median,5.6
