ev,cvar,mstd,cvar_mstd,var,alpha
0.00011615021691024907,0.0003211075960849463,0.0004331010561042792,-0.0001021769784844695,median,5.0
0.00011803765000473199,0.00032828286590524947,0.00044752733444952675,-0.0001071410853403787,median,5.1
0.00011992528183246698,0.00033542928013075013,0.0004619094596005624,-0.00011207377616995196,median,5.2
0.00012181306650260737,0.0003439338516857404,0.0004762474634762981,-0.00011697532861909554,median,5.3
0.0001237009581498416,0.00035356979739531447,0.0004905413784905832,-0.0001218460167250468,median,5.4
0.00012558891095082458,0.00036318899208209743,0.0005047912375373276,-0.00012668611095612015,median,5.5
0.00012747687913949868,0.0003727914447602121,0.0005189970739765126,-0.00013149587825000975,median,5.6
0.00012936481702130465,0.00038237716355871143,0.0005331589216195365,-0.00013627558205553392,median,5.7
0.0001312526789880586,0.00039194615572824,0.0005472768147165574,-0.00014102548236916146,median,5.8
0.00013314041953238487,0.0004014984276459188,0.0005613507879409507,-0.00014574583577597888,median,5.9
0.00013502799325948445,0.0004110339848200084,0.0005753808763770962,-0.0001504368954869939,median,6.0
0.00013691535490223394,0.0004205528318999008,0.0005893671155083879,-0.00015509891137988063,median,6.1
0.00013880245933317603,0.0004300549726772296,0.0006033095412016909,-0.00015973213003506181,median,6.2
0.00014068926157584372,0.00043954041009564015,0.0006172081896982373,-0.00016433679477545482,median,6.3
0.00014257571681874914,0.00044900914625611854,0.0006310630975983056,-0.00016891314570499638,median,6.4
0.00014446178042448743,0.000458461182424319,0.0006448743018514502,-0.0001734614197449469,median,6.5
0.00014634740794261525,0.00046789651903611507,0.0006586418397445115,-0.00017798185067252614,median,6.6
0.0001482325551189767,0.0004773151557058153,0.0006723657488887369,-0.000182474669158883,median,6.7
0.00015011717790769374,0.0004867170912323804,0.0006860460672111213,-0.0001869401028041784,median,6.8
0.00015200123248071407,0.0004961023236069728,0.0006996828329408622,-0.00019137837617799747,median,6.9
0.00015388467523536065,0.0005054708500202842,0.0007132760846011443,-0.00019578971085254526,median,7.0
0.00015576746280632214,0.0005148226668703071,0.0007268258609980371,-0.00020017432544194858,median,7.1
0.00015764955207386855,0.00052415776976944,0.0007403322012089486,-0.00020453243563700596,median,7.2
0.0001595309001709566,0.0005334761535527033,0.0007537951445752977,-0.00020886425424149202,median,7.3
0.00016141146449433208,0.0005427778122852889,0.0007672147306918564,-0.00021316999120890578,median,7.4
0.00016329120270874853,0.0005520627392703314,0.0007805909993967575,-0.00021744985367633252,median,7.5
0.0001651700727585137,0.0005613309270580125,0.000793923990763501,-0.00022170404600141413,median,7.6
0.00016704803287215242,0.000573237848623176,0.000811066986043496,-0.00022593276979698818,median,7.7
0.0001689250415697341,0.0005922823463555549,0.0008307193538523716,-0.00022685033035740876,median,7.8
0.00017080105767086629,0.0006112968660463292,0.0008503137184312504,-0.00022460489917042192,median,7.9
0.00017267604029957973,0.0006302813874727864,0.0008698501621910992,-0.00022234794801001545,median,8.0
0.00017454994889209985,0.0006492358902503437,0.0008893287677200767,-0.00022007957764935693,median,8.1
0.0001764227432008436,0.0006681603538283287,0.000908749617773319,-0.00021779988833903197,median,8.2
0.00017829438330108083,0.0006870547574839847,0.000928112795260505,-0.00021550897981281736,median,8.3
0.00018016482959626323,0.0007059190803242466,0.0009474183832371974,-0.00021320695129067868,median,8.4
0.00018203404282268743,0.0007247533012784135,0.0009666664648932954,-0.00021089390148065768,median,8.5
0.0001839019840546019,0.0007435573990983713,0.0009858571235439317,-0.00020856992858375722,median,8.6
0.00018576861470842587,0.0007623313523537067,0.0010049904426185918,-0.0002140630605613758,median,8.7
0.00018763389654696816,0.0007783844343096646,0.0010240665056531206,-0.0002154690690737704,median,8.8
0.00018949779168386804,0.0007913028026680369,0.0010430853962790643,-0.00021685259116144273,median,8.9
0.000191360262587148,0.0008041801231923884,0.0010584534218129882,-0.00021821375801089893,median,9.0
0.00019322127208298845,0.0008170165546996788,0.0010695790170338615,-0.00022088641754880456,median,9.1
0.00019508078335861434,0.0008298122554244447,0.0010806515345960221,-0.00022657075337317867,median,9.2
0.00019693875996584786,0.0008425673830143587,0.0010916712320157007,-0.00023221560329067525,median,9.3
0.00019879516582399503,0.000855282094531784,0.00110263836584501,-0.00023782116944415232,median,9.4
0.00020064996522228817,0.0008679565464493333,0.0011135531916686148,-0.0002433876528709078,median,9.5
0.00020250312282166227,0.0008805908946529772,0.0011244159641021767,-0.00024355121657326784,median,9.6
0.00020435460366052816,0.0008931852944369378,0.0011352269367876922,-0.000241767181733743,median,9.7
0.0002062043731509977,0.0009057399005054645,0.0011459863623934918,-0.00023997145787002516,median,9.8
0.00020805239708621137,0.0009182548669701696,0.0011566944926091338,-0.00023816414248711837,median,9.9
0.0002098986416392279,0.0009307303473500284,0.0011673515781456256,-0.00023634533269845104,median,10.0
0.00021174307336568887,0.0009431664945702689,0.0011779578687312053,-0.0002370715081611019,median,10.1
0.0002135856592044849,0.00095556346096215,0.001193951380551228,-0.00024041775005878563,median,10.2
0.00021542636647864377,0.0009679213982605184,0.0012100836278385874,-0.00024373279869471798,median,10.3
0.0002172651628979949,0.0009802404576044754,0.0012261471115351252,-0.00024560550544938664,median,10.4
0.0002191020165587254,0.0009925207895373767,0.0012421421198460791,-0.0002493116498075709,median,10.5
0.00022093689594426813,0.0010047625440043895,0.0012580689401153755,-0.00025298811961560475,median,10.6
0.00022276976992574582,0.001016965870352049,0.0012739278588180802,-0.0002566350539212614,median,10.7
0.00022460060776285928,0.0010291309173304786,0.0012897191615579562,-0.0002598420488850728,median,10.8
0.00022642937910455352,0.0010412578330887268,0.00130544313306169,-0.0002629710969592747,median,10.9
0.00022825605398724136,0.001053346765177654,0.0013211000571737852,-0.00026606934831185924,median,11.0
0.00023008060283724596,0.0010653978605486003,0.0013366902168538974,-0.0002691368638972902,median,11.1
0.00023190299646902446,0.001077411265552275,0.0013522138941708395,-0.00027217370571153143,median,11.2
0.00023372320608472386,0.0010893871259385346,0.0013676713702996945,-0.00027517993678283226,median,11.3
0.0002355412032759574,0.0011013255868574934,0.001383062925515821,-0.00027815562115784953,median,11.4
0.00023735696002002982,0.0011132267928575246,0.0013983888391946309,-0.00028110082389043445,median,11.5
0.00023917044868260184,0.0011250908878868149,0.001413649389803373,-0.00028401561103130746,median,11.6
0.00024098164201391548,0.001136918015291588,0.0014288448549006905,-0.0002869000496148466,median,11.7
0.00024279051315079236,0.001148708317816327,0.001443975511130402,-0.0002897542076478743,median,11.8
0.00024459703561285906,0.0011604619376057723,0.001459041634221725,-0.0002925781540974448,median,11.9
0.0002464011833034352,0.001172179016201813,0.0014740434989815032,-0.00029537195887996415,median,12.0
0.00024820293050842324,0.001183859694545264,0.0014889813792942075,-0.00029813569284742325,median,12.1
0.00025000225189386605,0.0011955041129758648,0.0015038555481174942,-0.000300869427777406,median,12.2
0.00025179912250417047,0.0012071124112322806,0.001518666277478875,-0.0003035732363595445,median,12.3
0.0002535935177636617,0.0012186847284516578,0.0015334138384737184,-0.0003077196970819873,median,12.4
0.00025538541347147614,0.0012302212031707338,0.0015487348637039933,-0.00031487190070056403,median,12.5
0.0002571747858015616,0.0012417219733247276,0.001565962197862092,-0.00032049771338305,median,12.6
0.00025896161130112283,0.001253662452931792,0.0015831276013780204,-0.00032310812318558924,median,12.7
0.00026074586688840107,0.001268223239774935,0.0016002313195608853,-0.0003230403396858872,median,12.8
0.00026252752985178596,0.0012827414491884959,0.001617273595675206,-0.00032295335940890624,median,12.9
0.00026430657784515255,0.0012972172237912805,0.0016342546709691153,-0.0003228473057091952,median,13.0
0.00026608298888963766,0.0013116507056856186,0.0016511747847007818,-0.0003227223014946601,median,13.1
0.00026785674136897697,0.0013260420364564762,0.0016680341741659443,-0.0003225784692254541,median,13.2
0.0002696278140277286,0.0013424790697782463,0.0016848330747238904,-0.00032241593091186793,median,13.3
0.00027139618596994097,0.001360510052657915,0.001701571719824324,-0.00032223480811233163,median,13.4
0.000273161836656044,0.0013784993060033113,0.0017182503410324568,-0.00032203522193274825,median,13.5
0.0002749247459008508,0.0013964469479259556,0.0017348691680558748,-0.0003218172930247176,median,13.6
0.00027668489387155937,0.0014143530951915562,0.001751428428768964,-0.00032158114158431506,median,13.7
0.00027844226108419967,0.0014322178632442117,0.0017679283492382236,-0.000321326887350204,median,13.8
0.0002801968284025236,0.0014500413662259515,0.001784369153747356,-0.0003210546496034139,median,13.9
0.0002819485770344521,0.0014678237169998276,0.001800751064822359,-0.00032076454716523095,median,14.0
0.00028369748853029897,0.001485565027172564,0.0018170743032539516,-0.0003204566983961987,median,14.1
0.0002854435447798842,0.001503265407113874,0.0018333390881235534,-0.00032013122119511905,median,14.2
0.0002871867280087592,0.0015209249659804414,0.0018495456368257113,-0.0003197882329986079,median,14.3
0.0002889270207779848,0.0015385438117334616,0.001865694165091858,-0.00031942785077854197,median,14.4
0.0002906644059785801,0.0015561220511624008,0.0018817848870142928,-0.00031905019104350174,median,14.5
0.00029239886683085636,0.0015736597899034255,0.0018978180150677204,-0.00031865536983533005,median,14.6
0.00029413038688086424,0.0015911571324602747,0.0019137937601318988,-0.00031824350273013113,median,14.7
0.0002958589499970632,0.0016086141822237998,0.0019297123315153986,-0.00031781470483716046,median,14.8
0.0002975845403685451,0.0016260310414919488,0.0019455739369753644,-0.00031736909079704834,median,14.9
0.0002993071425010374,0.0016434078114888617,0.0019613787827421625,-0.0003169067747825771,median,15.0
0.00030102674121557094,0.001660744592384189,0.00197712707353781,-0.0003157581870930626,median,15.1
0.00030274332164248463,0.001678041483312409,0.0019928190125990675,-0.0003141514822398994,median,15.2
0.00030445686922342396,0.0016952985823894817,0.0020084548016978676,-0.00031252851990204444,median,15.3
0.00030616736970245917,0.0017125159867337203,0.002024034641162853,-0.00031088940350687544,median,15.4
0.00030787480912763954,0.0017296937924831113,0.0020395587298971396,-0.00030923423602857714,median,15.5
0.0003095791738463305,0.0017468320948121896,0.0020550272654020763,-0.0003075631199923601,median,15.6
0.0003112804505018829,0.0017639309879509124,0.0020704404437938972,-0.0003058761574757929,median,15.7
0.0003129786260309686,0.0017809905652017566,0.002085798459825927,-0.0003041734501104676,median,15.8
0.0003146736876611378,0.00179801091895615,0.0021011015069061223,-0.00030245509908566337,median,15.9
0.0003163656229059342,0.001814992140712457,0.0021163497771168327,-0.00030072120514879064,median,16.0
0.0003180544195640067,0.001831934321092854,0.00213154346123412,-0.0002989718686096099,median,16.1
0.0003197400657144467,0.0018488375498577625,0.002146682748745299,-0.00029720718934145296,median,16.2
0.00032142254971478934,0.0018657019159247223,0.002161767827867811,-0.0002954272667821112,median,16.3
0.00032310186019701703,0.0018825275073828251,0.0021767988855676546,-0.0002936321999393865,median,16.4
0.0003247779860642286,0.0018993144115084792,0.002191776107577592,-0.00029182208739031434,median,16.5
0.0003264509164897511,0.001916062714782063,0.0022066996784129156,-0.0002899970272840502,median,16.6
0.00032812064091092275,0.0019327725029019138,0.002221569781390542,-0.0002881571173445341,median,16.7
0.00032978714902753836,0.0019494438608005371,0.0022363865986458897,-0.000286302454872045,median,16.8
0.00033145043079985115,0.0019660768726588174,0.002251150311148642,-0.0002844331367456432,median,16.9
0.0003331104764430215,0.001982671621920451,0.002265861098720956,-0.0002825492594250578,median,17.0
0.00033476727642578474,0.0019992281913079335,0.0022805191400530056,-0.00028065091895279615,median,17.1
0.0003364208214662323,0.00201574666283455,0.0022951246127187463,-0.00027873821095592,median,17.2
0.0003380711025307015,0.002032227117820362,0.0023102199069073848,-0.00027735204487189247,median,17.3
0.0003397181108271141,0.002048669636904643,0.0023300488726012425,-0.0002807251324185023,median,17.4
0.00034136183780608675,0.002065074300060532,0.0023498108773625237,-0.00028406906871447646,median,17.5
0.00034300227515449144,0.002081441186607025,0.002369506141068012,-0.00028738399631678124,median,17.6
0.0003446394147941234,0.002097770375224961,0.002389134882388566,-0.000290670057190634,median,17.7
0.00034627324887814837,0.002114061943965906,0.0024086973188044425,-0.00029392739271583146,median,17.8
0.0003479037697875498,0.0021303159702683594,0.0024281936666228354,-0.0002967305119414565,median,17.9
0.0003495309701297966,0.002146532530969081,0.0024476241409918664,-0.0002958178883073481,median,18.0
0.00035115484273329223,0.0021627117023148568,0.0024669889559179037,-0.000294891868081848,median,18.1
0.0003527753806462641,0.0021788535599767123,0.002486288324279995,-0.00029395255035247203,median,18.2
0.00035439257713276717,0.0021949581790585704,0.0025055224578458546,-0.0002930000337395544,median,18.3
0.00035600642567046314,0.0022110256341125734,0.0025246915672858528,-0.0002920344163966915,median,18.4
0.0003576169199475121,0.0022270559991492966,0.002543795862188558,-0.00029105579601229614,median,18.5
0.0003592240538581315,0.002243049347647519,0.002562835551075615,-0.00029006426980893174,median,18.6
0.00036082782150193005,0.0022590057525682106,0.0025818108414144003,-0.0002890599345447553,median,18.7
0.00036242821717857865,0.0022749252863636382,0.0026007219396333436,-0.0002880428865145168,median,18.8
0.00036402523538758835,0.0022908080209900206,0.0026195690511370273,-0.0002870132215501142,median,18.9
0.0003656188708225372,0.0023066540279157444,0.0026383523803164,-0.00028742061745057335,median,19.0
0.00036720911837084813,0.002322463378133799,0.002657072130565874,-0.00028988892277515,median,19.1
0.00036879597310846,0.00233823614217199,0.002675728504294206,-0.0002923346216403555,median,19.2
0.00037037943029871734,0.0023539723901020437,0.002694321702938929,-0.0002947578305549925,median,19.3
0.0003719594853892616,0.002369672191550265,0.0027128519269781215,-0.0002971586656154157,median,19.4
0.00037353613400759045,0.002385335615708195,0.0027313193759437304,-0.00029953724250553204,median,19.5
0.00037510937196105765,0.0024009627313401616,0.0027497242484335604,-0.00030189367649524623,median,19.6
0.000376679195231322,0.0024165536067950466,0.0027680667421250416,-0.0003042280824416821,median,19.7
0.0003782455999734591,0.002432108310012948,0.0027863470537838886,-0.0003065405747881833,median,19.8
0.0003798085825124087,0.0024476269085378366,0.0028045653792798664,-0.00030883126756386936,median,19.9
